City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Mbini,GQ,79.97,broken clouds,1.574,9.6134,Mbini
596,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,Road Town
599,Cienaga,CO,89.73,broken clouds,11.007,-74.2476,Ciénaga
612,Lubao,PH,78.87,scattered clouds,14.9167,120.55,Lubao
626,Bac Lieu,VN,79.39,overcast clouds,9.285,105.7244,Bạc Liêu
627,Sao Jose Da Coroa Grande,BR,80.53,overcast clouds,-8.8978,-35.1478,São José da Coroa Grande
636,Belmonte,BR,79.14,broken clouds,-15.8631,-38.8828,Belmonte
640,Birao,CF,76.87,broken clouds,10.2849,22.7882,Birao
652,Esmeraldas,BR,81.64,overcast clouds,-19.7625,-44.3139,Esmeraldas
653,North Shore,NZ,75.0,few clouds,-36.8,174.75,Auckland
655,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Klouklubed
661,Srandakan,ID,77.4,overcast clouds,-7.9386,110.2506,Bantul
665,Dibulla,CO,78.91,overcast clouds,11.2725,-73.3091,"Dibulla, La Guajira"
668,Honiara,SB,85.14,broken clouds,-9.4333,159.95,Honiara
672,Pundaguitan,PH,82.51,broken clouds,6.3711,126.1689,Mati
673,Omboue,GA,78.91,light rain,-1.5746,9.2618,Omboue
677,Catuday,PH,77.92,broken clouds,16.2923,119.8062,Bolinao
679,Gigmoto,PH,79.05,overcast clouds,13.7796,124.39,Gigmoto
681,Katobu,ID,76.64,scattered clouds,-4.9408,122.5276,Kampani
682,Jacareacanga,BR,78.57,moderate rain,-6.2222,-57.7528,Jacareacanga
683,Kangaba,ML,84.96,broken clouds,11.9333,-8.4167,Kangaba
685,Soc Trang,VN,78.33,broken clouds,9.6033,105.98,Sóc Trăng
689,La Asuncion,VE,76.71,overcast clouds,11.0333,-63.8628,La Asuncion
690,Sosua,DO,84.18,few clouds,19.7667,-70.5167,Sosúa
691,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Nha Trang
