City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
448,Obo,CF,5.3998,26.4869,72.25,62,100,4.14,overcast clouds,2022-03-13 22:48:48
449,Mitchell,US,43.7094,-98.0298,48.11,53,0,12.66,clear sky,2022-03-13 22:44:10
450,Porteirinha,BR,-15.7433,-43.0283,78.58,54,97,5.66,overcast clouds,2022-03-13 22:48:48
451,Tecoanapa,MX,16.5167,-98.75,83.52,56,0,10.31,clear sky,2022-03-13 22:48:49
452,Berdigestyakh,RU,62.0989,126.6992,-3.32,97,100,3.91,overcast clouds,2022-03-13 22:48:49
453,Vila,PT,42.0304,-8.1588,38.28,94,82,4.09,broken clouds,2022-03-13 22:44:49
454,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,100,11.5,moderate rain,2022-03-13 22:48:49
455,Ostersund,SE,63.1792,14.6357,36.05,44,99,12.66,overcast clouds,2022-03-13 22:48:49
456,Livingston,GB,55.9029,-3.5226,47.12,82,40,4.61,scattered clouds,2022-03-13 22:48:50
457,Bud,US,39.447,-86.1758,53.58,49,1,13.04,clear sky,2022-03-13 22:48:50
458,Kununurra,AU,-15.7667,128.7333,73.38,94,40,0.0,scattered clouds,2022-03-13 22:45:39
459,Viedma,AR,-40.8135,-62.9967,75.94,31,29,10.02,scattered clouds,2022-03-13 22:44:03
460,Iqaluit,CA,63.7506,-68.5145,-20.47,76,75,4.61,broken clouds,2022-03-13 22:48:50
461,Ofunato,JP,39.0717,141.7167,45.19,98,100,4.54,moderate rain,2022-03-13 22:48:51
462,Port Hueneme,US,34.1478,-119.1951,79.45,48,0,16.11,clear sky,2022-03-13 22:48:51
463,Soure,BR,-0.7167,-48.5233,77.86,85,100,11.01,overcast clouds,2022-03-13 22:48:51
464,Vallenar,CL,-28.5708,-70.7581,73.81,44,6,4.18,clear sky,2022-03-13 22:44:51
465,Sinnamary,GF,5.3833,-52.95,76.59,92,100,12.1,overcast clouds,2022-03-13 22:48:52
466,Vardo,NO,70.3705,31.1107,35.06,93,100,8.79,overcast clouds,2022-03-13 22:48:52
467,Campos,BR,-21.75,-41.3,74.97,94,10,5.03,clear sky,2022-03-13 22:45:49
468,Moose Factory,CA,51.2585,-80.6094,17.6,38,0,8.05,clear sky,2022-03-13 22:48:52
469,Banda Aceh,ID,5.5577,95.3222,78.26,85,54,5.17,broken clouds,2022-03-13 22:48:52
470,Panama City,PA,8.9936,-79.5197,89.55,64,20,12.66,few clouds,2022-03-13 22:48:53
471,Whyalla,AU,-33.0333,137.5833,67.89,60,66,2.3,broken clouds,2022-03-13 22:45:57
472,Skoghall,SE,59.3232,13.4655,28.96,74,62,4.61,broken clouds,2022-03-13 22:48:53
473,Henties Bay,NA,-22.116,14.2845,63.88,87,88,9.55,overcast clouds,2022-03-13 22:48:53
474,Terra Santa,BR,-2.1042,-56.4869,76.98,95,99,2.21,overcast clouds,2022-03-13 22:48:53
475,Taquarana,BR,-9.645,-36.4972,76.78,81,74,10.0,broken clouds,2022-03-13 22:48:54
476,Westport,US,41.1415,-73.3579,35.58,49,20,16.11,few clouds,2022-03-13 22:48:54
477,Sorland,NO,67.667,12.6934,41.59,78,76,10.92,broken clouds,2022-03-13 22:48:54
478,Nivala,FI,63.9167,24.9667,27.68,89,90,4.68,overcast clouds,2022-03-13 22:48:55
479,Chipinge,ZW,-20.1883,32.6236,62.49,85,0,3.04,clear sky,2022-03-13 22:48:55
480,Floro,NO,61.5996,5.0328,48.27,43,75,17.27,light rain,2022-03-13 22:48:55
481,Skjervoy,NO,70.0311,20.9714,38.48,66,44,11.12,scattered clouds,2022-03-13 22:48:55
482,Isetskoye,RU,56.4858,65.3226,8.24,95,100,6.22,overcast clouds,2022-03-13 22:48:56
483,Weyburn,CA,49.6668,-103.8511,23.22,80,100,9.22,overcast clouds,2022-03-13 22:45:25
484,Coahuayana,MX,18.7333,-103.6833,83.28,48,1,6.76,clear sky,2022-03-13 22:48:56
485,Joutseno,FI,61.118,28.5076,24.85,99,99,1.99,overcast clouds,2022-03-13 22:48:56
486,Nizwa,OM,22.9333,57.5333,72.61,32,15,0.54,few clouds,2022-03-13 22:48:57
487,Coquimbo,CL,-29.9533,-71.3436,64.13,77,20,11.5,few clouds,2022-03-13 22:48:57
488,Svetlyy,RU,54.675,20.1347,32.97,78,2,7.87,clear sky,2022-03-13 22:48:57
489,Kosh-Agach,RU,50.0,88.6667,9.97,77,46,4.45,scattered clouds,2022-03-13 22:48:57
490,Dwarka,IN,22.2394,68.9678,76.03,74,1,8.25,clear sky,2022-03-13 22:48:58
491,Soeng Sang,TH,14.4264,102.4606,78.15,56,92,2.91,overcast clouds,2022-03-13 22:48:58
492,Tandil,AR,-37.3217,-59.1332,68.29,50,68,5.28,broken clouds,2022-03-13 22:48:58
493,Bandarbeyla,SO,9.4942,50.8122,76.89,75,64,13.09,broken clouds,2022-03-13 22:48:58
494,Kangaatsiaq,GL,68.3065,-53.4641,-0.04,97,100,7.96,overcast clouds,2022-03-13 22:48:59
495,Heihe,CN,50.2441,127.4902,10.98,97,83,0.74,broken clouds,2022-03-13 22:48:59
496,Baiyin,CN,36.5583,104.2081,42.19,45,89,3.83,overcast clouds,2022-03-13 22:48:59
497,Pine Bluff,US,34.2284,-92.0032,62.53,27,0,11.5,clear sky,2022-03-13 22:49:00
498,May Pen,JM,17.9645,-77.2451,85.21,57,33,3.51,scattered clouds,2022-03-13 22:49:00
499,La Primavera,CO,5.4906,-70.4092,85.95,52,100,4.56,overcast clouds,2022-03-13 22:49:00
500,Grand-Santi,GF,4.25,-54.3833,73.8,99,100,3.6,overcast clouds,2022-03-13 22:49:01
501,Ladario,BR,-19.0047,-57.6017,75.99,75,96,1.28,overcast clouds,2022-03-13 22:49:01
502,Alberton,CA,46.8168,-64.0654,24.93,65,12,20.76,few clouds,2022-03-13 22:49:01
503,Nicoya,CR,10.1483,-85.452,87.89,45,58,10.27,broken clouds,2022-03-13 22:49:01
504,Ola,RU,59.5833,151.2833,12.78,68,100,4.99,overcast clouds,2022-03-13 22:49:02
505,Jalu,LY,29.0331,21.5482,54.73,50,0,13.89,clear sky,2022-03-13 22:49:02
506,Bure,ET,10.7,37.0667,62.71,62,98,2.8,overcast clouds,2022-03-13 22:49:02
507,Matamoros,MX,25.5333,-103.25,76.03,14,2,8.9,clear sky,2022-03-13 22:49:03
508,Irupi,BR,-20.3453,-41.6411,68.9,89,39,1.05,scattered clouds,2022-03-13 22:49:03
509,Filingue,NE,14.3521,3.3168,81.16,16,42,11.32,scattered clouds,2022-03-13 22:49:03
510,Souris,CA,49.6172,-100.2612,21.74,91,100,2.17,overcast clouds,2022-03-13 22:49:04
511,Qui Nhon,VN,13.7667,109.2333,73.83,86,100,4.47,overcast clouds,2022-03-13 22:46:11
512,Altamira,BR,-3.2033,-52.2064,73.78,96,98,1.68,overcast clouds,2022-03-13 22:49:04
513,Kindu,CD,-2.95,25.95,70.59,92,100,2.59,overcast clouds,2022-03-13 22:49:04
514,Lubumbashi,CD,-11.6609,27.4794,61.93,94,100,3.6,overcast clouds,2022-03-13 22:49:05
515,Taltal,CL,-25.4,-70.4833,67.33,79,23,5.88,few clouds,2022-03-13 22:49:05
516,Nelson Bay,AU,-32.7167,152.15,75.0,93,49,1.99,scattered clouds,2022-03-13 22:49:05
517,Gamba,GA,-2.65,10.0,77.77,86,100,3.8,overcast clouds,2022-03-13 22:49:05
518,Hobyo,SO,5.3505,48.5268,78.53,73,88,15.86,overcast clouds,2022-03-13 22:49:06
519,Riberalta,BO,-10.9833,-66.1,82.6,78,75,6.91,broken clouds,2022-03-13 22:49:06
520,Gallup,US,35.5281,-108.7426,56.16,21,0,20.71,clear sky,2022-03-13 22:47:53
521,Zarand,IR,30.8127,56.564,61.12,34,66,0.83,broken clouds,2022-03-13 22:49:06
522,Tiznit,MA,29.5833,-9.5,53.82,85,42,2.51,scattered clouds,2022-03-13 22:49:06
523,Kihei,US,20.785,-156.4656,86.02,72,20,21.85,few clouds,2022-03-13 22:49:07
524,Sur,OM,22.5667,59.5289,78.93,40,25,7.9,scattered clouds,2022-03-13 22:49:07
525,Koltubanovskiy,RU,52.9407,52.0269,4.05,97,100,4.16,overcast clouds,2022-03-13 22:49:07
526,Druzhba,UA,52.0428,33.9453,27.34,83,99,5.26,overcast clouds,2022-03-13 22:49:08
527,Antequera,ES,37.0194,-4.5612,53.94,95,100,5.68,light rain,2022-03-13 22:49:08
528,Taoudenni,ML,22.6783,-3.9836,76.82,10,0,7.09,clear sky,2022-03-13 22:49:08
529,Atasu,KZ,48.6814,71.6433,22.17,96,100,9.17,overcast clouds,2022-03-13 22:49:08
530,Tonneins,FR,44.3921,0.3124,44.67,90,33,10.0,scattered clouds,2022-03-13 22:49:09
531,Kargasok,RU,59.0556,80.8572,-18.72,100,97,0.81,overcast clouds,2022-03-13 22:49:09
532,Brae,GB,60.3964,-1.353,45.48,91,100,25.08,overcast clouds,2022-03-13 22:49:09
533,Obera,AR,-27.4871,-55.1199,65.44,62,0,3.51,clear sky,2022-03-13 22:49:09
534,Lima,PE,-12.0432,-77.0282,74.14,80,0,12.66,clear sky,2022-03-13 22:48:09
535,Bonavista,CA,48.6499,-53.1147,23.94,64,46,38.88,scattered clouds,2022-03-13 22:49:10
536,Honningsvag,NO,70.9821,25.9704,37.15,79,52,15.35,broken clouds,2022-03-13 22:49:10
537,Dauriya,RU,49.9333,116.8667,11.07,94,99,2.53,light snow,2022-03-13 22:49:10
538,Poddorye,RU,57.4695,31.1156,25.93,96,23,4.25,few clouds,2022-03-13 22:49:11
539,Alice Springs,AU,-23.7,133.8833,74.75,31,9,2.3,clear sky,2022-03-13 22:45:10
540,Rosarito,MX,32.3333,-117.0333,68.23,65,14,7.85,few clouds,2022-03-13 22:49:11
541,Langsa,ID,4.4683,97.9683,74.21,96,65,2.68,light rain,2022-03-13 22:49:11
542,Puerto Escondido,MX,15.85,-97.0667,83.03,61,5,4.68,clear sky,2022-03-13 22:46:19
543,Luanda,AO,-8.8368,13.2343,79.63,76,100,6.71,overcast clouds,2022-03-13 22:49:12
544,Arauca,CO,7.0847,-70.7591,84.88,56,78,3.53,broken clouds,2022-03-13 22:44:16
545,Gulabpura,IN,25.9,74.6667,74.68,25,0,7.11,clear sky,2022-03-13 22:49:12
546,Tezu,IN,27.9167,96.1667,69.37,25,0,4.9,clear sky,2022-03-13 22:49:12
547,Bridlington,GB,54.0831,-0.1919,48.13,91,100,3.0,overcast clouds,2022-03-13 22:49:12
548,Linaon,PH,9.9499,122.4483,80.85,82,59,2.89,broken clouds,2022-03-13 22:49:13
549,Dauphin,CA,51.1494,-100.0502,24.94,58,0,14.97,clear sky,2022-03-13 22:49:13
550,Xuddur,SO,4.1213,43.8894,72.45,74,55,16.71,broken clouds,2022-03-13 22:49:13
551,Kungurtug,RU,50.5994,97.5228,13.82,94,98,1.7,light snow,2022-03-13 22:49:14
552,Matara,LK,5.9485,80.5353,75.72,89,81,3.51,broken clouds,2022-03-13 22:49:14
553,Olga,RU,43.7444,135.2892,32.4,83,54,3.87,broken clouds,2022-03-13 22:49:14
554,Hervey Bay,AU,-25.2986,152.8535,75.29,65,94,16.28,overcast clouds,2022-03-13 22:49:14
555,Zhigansk,RU,66.7697,123.3711,-19.98,98,99,12.48,overcast clouds,2022-03-13 22:49:15
556,Kismayo,SO,-0.3582,42.5454,77.97,81,93,13.85,overcast clouds,2022-03-13 22:49:15
557,Zeya,RU,53.75,127.2667,6.33,91,24,2.48,few clouds,2022-03-13 22:49:15
558,Amapa,BR,1.0,-52.0,73.08,98,100,3.33,heavy intensity rain,2022-03-13 22:49:16
559,Inhambane,MZ,-23.865,35.3833,77.22,85,0,8.7,clear sky,2022-03-13 22:49:16
560,Whitehorse,CA,60.7161,-135.0538,10.09,62,100,10.36,light snow,2022-03-13 22:44:49
561,Gondanglegi,ID,-7.7479,112.0132,74.73,92,100,4.5,overcast clouds,2022-03-13 22:49:16
562,Bulgan,MN,48.8125,103.5347,17.15,90,100,3.33,overcast clouds,2022-03-13 22:49:16
563,Kosa,RU,59.9445,54.9977,14.29,96,99,6.33,overcast clouds,2022-03-13 22:49:17
564,Wamba,NG,8.9333,8.6,77.58,33,27,4.65,scattered clouds,2022-03-13 22:49:17
565,Idanre,NG,7.1127,5.1159,74.1,94,82,2.68,broken clouds,2022-03-13 22:49:17
566,Teberda,RU,43.4456,41.7448,9.12,91,74,4.99,broken clouds,2022-03-13 22:49:18
567,Asau,RO,46.4333,26.4,29.32,98,98,2.26,overcast clouds,2022-03-13 22:49:18
568,Toamasina,MG,-18.1667,49.3833,75.2,100,20,4.61,few clouds,2022-03-13 22:49:18
569,Esso,RU,55.9333,158.7,18.57,89,57,2.44,broken clouds,2022-03-13 22:49:18
570,Kuito,AO,-12.3833,16.9333,60.75,94,100,7.29,overcast clouds,2022-03-13 22:49:19
